competicion,jornada,fecha,hora,local,visitante,resultado,estado,enlace_partido
Bundesliga 1 Alemania,1. Jornada,22.08.2025,20:30,Bayern Munich,RB Leipzig,6:0,Final,https://www.livefutbol.com/match-report/co12/bundesliga/ma11178804/bayern-munich_rb-leipzig/lineup/
Bundesliga 1 Alemania,1. Jornada,23.08.2025,15:30,Eintracht Francfort,Werder Bremen,4:1,Final,https://www.livefutbol.com/match-report/co12/bundesliga/ma11191415/eintracht-francfort_werder-bremen/lineup/
Bundesliga 1 Alemania,1. Jornada,23.08.2025,15:30,Bayer Leverkusen,1899 Hoffenheim,1:2,Final,https://www.livefutbol.com/match-report/co12/bundesliga/ma11199443/bayer-leverkusen_1899-hoffenheim/lineup/
Bundesliga 1 Alemania,1. Jornada,23.08.2025,15:30,SC Friburgo,FC Augsburgo,1:3,Final,https://www.livefutbol.com/match-report/co12/bundesliga/ma11199446/sc-friburgo_fc-augsburgo/lineup/
Bundesliga 1 Alemania,1. Jornada,23.08.2025,15:30,Union Berlín,VfB Stuttgart,2:1,Final,https://www.livefutbol.com/match-report/co12/bundesliga/ma11199455/union-berlin_vfb-stuttgart/lineup/
Bundesliga 1 Alemania,1. Jornada,23.08.2025,15:30,1. FC Heidenheim 1846,VfL Wolfsburgo,1:3,Final,https://www.livefutbol.com/match-report/co12/bundesliga/ma11199461/1-fc-heidenheim-1846_vfl-wolfsburgo/lineup/
Bundesliga 1 Alemania,1. Jornada,23.08.2025,18:30,FC St. Pauli,Borussia Dortmund,3:3,Final,https://www.livefutbol.com/match-report/co12/bundesliga/ma11199458/fc-st-pauli_borussia-dortmund/lineup/
Bundesliga 1 Alemania,1. Jornada,24.08.2025,15:30,1. FSV Mainz 05,1. FC Colonia,0:1,Final,https://www.livefutbol.com/match-report/co12/bundesliga/ma11199449/1-fsv-mainz-05_1-fc-colonia/lineup/
Bundesliga 1 Alemania,1. Jornada,24.08.2025,17:30,Bor. Mönchengladbach,Hamburgo SV,0:0,Final,https://www.livefutbol.com/match-report/co12/bundesliga/ma11199452/bor-moenchengladbach_hamburgo-sv/lineup/
Bundesliga 1 Alemania,2. Jornada,29.08.2025,20:30,Hamburgo SV,FC St. Pauli,0:2,Final,https://www.livefutbol.com/match-report/co12/bundesliga/ma11199629/hamburgo-sv_fc-st-pauli/lineup/
Bundesliga 1 Alemania,2. Jornada,30.08.2025,15:30,RB Leipzig,1. FC Heidenheim 1846,2:0,Final,https://www.livefutbol.com/match-report/co12/bundesliga/ma11199515/rb-leipzig_1-fc-heidenheim-1846/lineup/
Bundesliga 1 Alemania,2. Jornada,30.08.2025,15:30,Werder Bremen,Bayer Leverkusen,3:3,Final,https://www.livefutbol.com/match-report/co12/bundesliga/ma11199533/werder-bremen_bayer-leverkusen/lineup/
Bundesliga 1 Alemania,2. Jornada,30.08.2025,15:30,VfB Stuttgart,Bor. Mönchengladbach,1:0,Final,https://www.livefutbol.com/match-report/co12/bundesliga/ma11199551/vfb-stuttgart_bor-moenchengladbach/lineup/
Bundesliga 1 Alemania,2. Jornada,30.08.2025,15:30,1899 Hoffenheim,Eintracht Francfort,1:3,Final,https://www.livefutbol.com/match-report/co12/bundesliga/ma11199605/1899-hoffenheim_eintracht-francfort/lineup/
Bundesliga 1 Alemania,2. Jornada,30.08.2025,18:30,FC Augsburgo,Bayern Munich,2:3,Final,https://www.livefutbol.com/match-report/co12/bundesliga/ma11199581/fc-augsburgo_bayern-munich/lineup/
Bundesliga 1 Alemania,2. Jornada,31.08.2025,15:30,VfL Wolfsburgo,1. FSV Mainz 05,1:1,Final,https://www.livefutbol.com/match-report/co12/bundesliga/ma11199563/vfl-wolfsburgo_1-fsv-mainz-05/lineup/
Bundesliga 1 Alemania,2. Jornada,31.08.2025,17:30,Borussia Dortmund,Union Berlín,3:0,Final,https://www.livefutbol.com/match-report/co12/bundesliga/ma11199506/borussia-dortmund_union-berlin/lineup/
Bundesliga 1 Alemania,2. Jornada,31.08.2025,19:30,1. FC Colonia,SC Friburgo,4:1,Final,https://www.livefutbol.com/match-report/co12/bundesliga/ma11199620/1-fc-colonia_sc-friburgo/lineup/
