competicion,jornada,fecha,hora,local,visitante,resultado,estado,enlace_partido
Eredivisie Holanda,1. Jornada,08.08.2025,20:00,Fortuna Sittard,Go Ahead Eagles,2:2,Final,https://www.livefutbol.com/match-report/co37/eredivisie/ma11148231/fortuna-sittard_go-ahead-eagles/lineup/
Eredivisie Holanda,1. Jornada,09.08.2025,16:30,NEC Nijmegen,SBV Excelsior,5:0,Final,https://www.livefutbol.com/match-report/co37/eredivisie/ma11148234/nec-nijmegen_sbv-excelsior/lineup/
Eredivisie Holanda,1. Jornada,09.08.2025,18:45,Feyenoord,NAC Breda,2:0,Final,https://www.livefutbol.com/match-report/co37/eredivisie/ma11148237/feyenoord_nac-breda/lineup/
Eredivisie Holanda,1. Jornada,09.08.2025,20:00,Sc Heerenveen,FC Volendam,1:1,Final,https://www.livefutbol.com/match-report/co37/eredivisie/ma11148240/sc-heerenveen_fc-volendam/lineup/
Eredivisie Holanda,1. Jornada,09.08.2025,21:00,PSV Eindhoven,Sparta Rotterdam,6:1,Final,https://www.livefutbol.com/match-report/co37/eredivisie/ma11148243/psv-eindhoven_sparta-rotterdam/lineup/
Eredivisie Holanda,1. Jornada,10.08.2025,12:15,PEC Zwolle,FC Twente,1:0,Final,https://www.livefutbol.com/match-report/co37/eredivisie/ma11148246/pec-zwolle_fc-twente/lineup/
Eredivisie Holanda,1. Jornada,10.08.2025,14:30,AFC Ajax,Telstar,2:0,Final,https://www.livefutbol.com/match-report/co37/eredivisie/ma11148249/afc-ajax_telstar/lineup/
Eredivisie Holanda,1. Jornada,10.08.2025,14:30,AZ Alkmaar,FC Groningen,4:1,Final,https://www.livefutbol.com/match-report/co37/eredivisie/ma11148252/az-alkmaar_fc-groningen/lineup/
Eredivisie Holanda,1. Jornada,10.08.2025,16:45,FC Utrecht,Heracles Almelo,4:0,Final,https://www.livefutbol.com/match-report/co37/eredivisie/ma11148255/fc-utrecht_heracles-almelo/lineup/
Eredivisie Holanda,2. Jornada,15.08.2025,20:00,Telstar,PEC Zwolle,0:2,Final,https://www.livefutbol.com/match-report/co37/eredivisie/ma11150631/telstar_pec-zwolle/lineup/
Eredivisie Holanda,2. Jornada,16.08.2025,18:45,SBV Excelsior,Feyenoord,1:2,Final,https://www.livefutbol.com/match-report/co37/eredivisie/ma11150637/sbv-excelsior_feyenoord/lineup/
Eredivisie Holanda,2. Jornada,16.08.2025,20:00,Heracles Almelo,NEC Nijmegen,1:4,Final,https://www.livefutbol.com/match-report/co37/eredivisie/ma11150640/heracles-almelo_nec-nijmegen/lineup/
Eredivisie Holanda,2. Jornada,16.08.2025,21:00,FC Groningen,Sc Heerenveen,2:1,Final,https://www.livefutbol.com/match-report/co37/eredivisie/ma11150634/fc-groningen_sc-heerenveen/lineup/
Eredivisie Holanda,2. Jornada,17.08.2025,12:15,Go Ahead Eagles,AFC Ajax,2:2,Final,https://www.livefutbol.com/match-report/co37/eredivisie/ma11150643/go-ahead-eagles_afc-ajax/lineup/
