competicion,jornada,fecha,hora,local,visitante,resultado,estado,enlace_partido
Segunda División España,1. Jornada,15.08.2025,21:30,Burgos CF,Cultural Leonesa,5:1,Final,https://www.livefutbol.com/match-report/co110/segunda-division/ma11224019/burgos-cf_cultural-leonesa/lineup/
Segunda División España,1. Jornada,15.08.2025,21:30,Real Valladolid,AD Ceuta FC,3:0,Final,https://www.livefutbol.com/match-report/co110/segunda-division/ma11224037/real-valladolid_ad-ceuta-fc/lineup/
Segunda División España,1. Jornada,16.08.2025,17:00,Racing Santander,CD Castellón,3:1,Final,https://www.livefutbol.com/match-report/co110/segunda-division/ma11224034/racing-santander_cd-castellon/lineup/
Segunda División España,1. Jornada,16.08.2025,19:30,Málaga CF,SD Eibar,1:1,Final,https://www.livefutbol.com/match-report/co110/segunda-division/ma11224046/malaga-cf_sd-eibar/lineup/
Segunda División España,1. Jornada,16.08.2025,21:30,Granada CF,Deportivo La Coruña,1:3,Final,https://www.livefutbol.com/match-report/co110/segunda-division/ma11224043/granada-cf_deportivo-la-coruna/lineup/
Segunda División España,1. Jornada,17.08.2025,17:00,Real Sociedad B,Real Zaragoza,1:0,Final,https://www.livefutbol.com/match-report/co110/segunda-division/ma11224028/real-sociedad-b_real-zaragoza/lineup/
Segunda División España,1. Jornada,17.08.2025,19:30,Cádiz CF,CD Mirandés,1:0,Final,https://www.livefutbol.com/match-report/co110/segunda-division/ma11224022/cadiz-cf_cd-mirandes/lineup/
Segunda División España,1. Jornada,17.08.2025,21:30,SD Huesca,CD Leganés,1:1,Final,https://www.livefutbol.com/match-report/co110/segunda-division/ma11224025/sd-huesca_cd-leganes/lineup/
Segunda División España,1. Jornada,17.08.2025,21:30,UD Las Palmas,FC Andorra,1:1,Final,https://www.livefutbol.com/match-report/co110/segunda-division/ma11224049/ud-las-palmas_fc-andorra/lineup/
Segunda División España,1. Jornada,18.08.2025,19:00,Sporting Gijón,Córdoba CF,2:1,Final,https://www.livefutbol.com/match-report/co110/segunda-division/ma11224040/sporting-gijon_cordoba-cf/lineup/
Segunda División España,1. Jornada,18.08.2025,21:30,UD Almería,Albacete,4:4,Final,https://www.livefutbol.com/match-report/co110/segunda-division/ma11224031/ud-almeria_albacete/lineup/
