competicion,jornada,fecha,hora,local,visitante,resultado,estado,enlace_partido
Ligue 1 Francia,1. Jornada,15.08.2025,20:45,Stade Rennais,Olympique Marseille,1:0,Final,https://www.livefutbol.com/match-report/co71/ligue-1/ma11203946/stade-rennais_olympique-marseille/lineup/
Ligue 1 Francia,1. Jornada,16.08.2025,17:00,RC Lens,Olympique Lyonnais,0:1,Final,https://www.livefutbol.com/match-report/co71/ligue-1/ma11203937/rc-lens_olympique-lyonnais/lineup/
Ligue 1 Francia,1. Jornada,16.08.2025,19:00,AS Monaco,Havre AC,3:1,Final,https://www.livefutbol.com/match-report/co71/ligue-1/ma11203925/as-monaco_havre-ac/lineup/
Ligue 1 Francia,1. Jornada,16.08.2025,21:05,OGC Nice,Toulouse FC,0:1,Final,https://www.livefutbol.com/match-report/co71/ligue-1/ma11203934/ogc-nice_toulouse-fc/lineup/
Ligue 1 Francia,1. Jornada,17.08.2025,15:00,Stade Brestois 29,Lille OSC,3:3,Final,https://www.livefutbol.com/match-report/co71/ligue-1/ma11203943/stade-brestois-29_lille-osc/lineup/
Ligue 1 Francia,1. Jornada,17.08.2025,17:15,AJ Auxerre,FC Lorient,1:0,Final,https://www.livefutbol.com/match-report/co71/ligue-1/ma11203922/aj-auxerre_fc-lorient/lineup/
Ligue 1 Francia,1. Jornada,17.08.2025,17:15,FC Metz,Racing Strasbourg,0:1,Final,https://www.livefutbol.com/match-report/co71/ligue-1/ma11203928/fc-metz_racing-strasbourg/lineup/
Ligue 1 Francia,1. Jornada,17.08.2025,17:15,Angers SCO,Paris FC,1:0,Final,https://www.livefutbol.com/match-report/co71/ligue-1/ma11203940/angers-sco_paris-fc/lineup/
Ligue 1 Francia,1. Jornada,17.08.2025,20:45,FC Nantes,Paris Saint-Germain,0:1,Final,https://www.livefutbol.com/match-report/co71/ligue-1/ma11203931/fc-nantes_paris-saint-germain/lineup/
Ligue 1 Francia,2. Jornada,22.08.2025,20:45,Paris Saint-Germain,Angers SCO,1:0,Final,https://www.livefutbol.com/match-report/co71/ligue-1/ma11203970/paris-saint-germain_angers-sco/lineup/
