competicion,jornada,fecha,hora,local,visitante,resultado,estado,enlace_partido
Premiership Escocia,1. Jornada,02.08.2025,16:00,Kilmarnock FC,Livingston FC,2:2,Final,https://www.livefutbol.com/match-report/co93/premiership/ma11165148/kilmarnock-fc_livingston-fc/lineup/
Premiership Escocia,1. Jornada,02.08.2025,18:30,Motherwell FC,Rangers FC,1:1,Final,https://www.livefutbol.com/match-report/co93/premiership/ma11165151/motherwell-fc_rangers-fc/lineup/
Premiership Escocia,1. Jornada,03.08.2025,15:00,Falkirk FC,Dundee United,2:2,Final,https://www.livefutbol.com/match-report/co93/premiership/ma11165154/falkirk-fc_dundee-united/lineup/
Premiership Escocia,1. Jornada,03.08.2025,16:00,Dundee FC,Hibernian FC,1:2,Final,https://www.livefutbol.com/match-report/co93/premiership/ma11165157/dundee-fc_hibernian-fc/lineup/
Premiership Escocia,1. Jornada,03.08.2025,17:30,Celtic FC,St. Mirren FC,1:0,Final,https://www.livefutbol.com/match-report/co93/premiership/ma11165160/celtic-fc_st-mirren-fc/lineup/
Premiership Escocia,1. Jornada,04.08.2025,21:00,Heart of Midlothian,Aberdeen FC,2:0,Final,https://www.livefutbol.com/match-report/co93/premiership/ma11165163/heart-of-midlothian_aberdeen-fc/lineup/
Premiership Escocia,2. Jornada,09.08.2025,16:00,St. Mirren FC,Motherwell FC,0:0,Final,https://www.livefutbol.com/match-report/co93/premiership/ma11165169/st-mirren-fc_motherwell-fc/lineup/
Premiership Escocia,2. Jornada,09.08.2025,16:00,Livingston FC,Falkirk FC,3:1,Final,https://www.livefutbol.com/match-report/co93/premiership/ma11165175/livingston-fc_falkirk-fc/lineup/
Premiership Escocia,2. Jornada,09.08.2025,18:45,Rangers FC,Dundee FC,1:1,Final,https://www.livefutbol.com/match-report/co93/premiership/ma11165178/rangers-fc_dundee-fc/lineup/
Premiership Escocia,2. Jornada,10.08.2025,13:30,Aberdeen FC,Celtic FC,0:2,Final,https://www.livefutbol.com/match-report/co93/premiership/ma11165181/aberdeen-fc_celtic-fc/lineup/
Premiership Escocia,2. Jornada,10.08.2025,16:00,Dundee United,Heart of Midlothian,2:3,Final,https://www.livefutbol.com/match-report/co93/premiership/ma11165166/dundee-united_heart-of-midlothian/lineup/
Premiership Escocia,2. Jornada,10.08.2025,16:00,Hibernian FC,Kilmarnock FC,2:2,Final,https://www.livefutbol.com/match-report/co93/premiership/ma11165172/hibernian-fc_kilmarnock-fc/lineup/
Premiership Escocia,3. Jornada,23.08.2025,16:00,Celtic FC,Livingston FC,3:0,Final,https://www.livefutbol.com/match-report/co93/premiership/ma11165184/celtic-fc_livingston-fc/lineup/
Premiership Escocia,3. Jornada,23.08.2025,16:00,Kilmarnock FC,Dundee FC,0:0,Final,https://www.livefutbol.com/match-report/co93/premiership/ma11165193/kilmarnock-fc_dundee-fc/lineup/
Premiership Escocia,3. Jornada,23.08.2025,16:00,Heart of Midlothian,Motherwell FC,3:3,Final,https://www.livefutbol.com/match-report/co93/premiership/ma11165199/heart-of-midlothian_motherwell-fc/lineup/
Premiership Escocia,3. Jornada,24.08.2025,13:00,St. Mirren FC,Rangers FC,1:1,Final,https://www.livefutbol.com/match-report/co93/premiership/ma11165196/st-mirren-fc_rangers-fc/lineup/
