competicion,jornada,fecha,hora,local,visitante,resultado,estado,enlace_partido
Primeira Liga Portugal,1. Jornada,08.08.2025,21:15,Casa Pia AC,Sporting CP,0:2,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305310/casa-pia-ac_sporting-cp/lineup/
Primeira Liga Portugal,1. Jornada,09.08.2025,16:30,CD Nacional,Gil Vicente,0:2,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305328/cd-nacional_gil-vicente/lineup/
Primeira Liga Portugal,1. Jornada,09.08.2025,21:30,FC Arouca,AVS,3:1,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305319/fc-arouca_avs/lineup/
Primeira Liga Portugal,1. Jornada,10.08.2025,18:00,FC Famalicão,CD Santa Clara,3:0,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305331/fc-famalicao_cd-santa-clara/lineup/
Primeira Liga Portugal,1. Jornada,10.08.2025,21:30,Sporting Braga,CD Tondela,3:0,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305313/sporting-braga_cd-tondela/lineup/
Primeira Liga Portugal,1. Jornada,10.08.2025,21:30,Moreirense FC,FC Alverca,2:1,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305325/moreirense-fc_fc-alverca/lineup/
Primeira Liga Portugal,1. Jornada,11.08.2025,19:45,GD Estoril,Estrela Amadora,1:1,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305322/gd-estoril_estrela-amadora/lineup/
Primeira Liga Portugal,1. Jornada,11.08.2025,21:45,FC Porto,Vitória Guimarães,3:0,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305334/fc-porto_vitoria-guimaraes/lineup/
Primeira Liga Portugal,1. Jornada,23.09.2025,21:15,SL Benfica,Rio Ave FC,1:1,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305316/sl-benfica_rio-ave-fc/lineup/
Primeira Liga Portugal,2. Jornada,15.08.2025,16:45,AVS,Casa Pia AC,0:2,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305337/avs_casa-pia-ac/lineup/
Primeira Liga Portugal,2. Jornada,16.08.2025,16:30,CD Tondela,FC Famalicão,0:1,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305358/cd-tondela_fc-famalicao/lineup/
Primeira Liga Portugal,2. Jornada,16.08.2025,19:00,Vitória Guimarães,GD Estoril,3:2,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305352/vitoria-guimaraes_gd-estoril/lineup/
Primeira Liga Portugal,2. Jornada,16.08.2025,21:30,Estrela Amadora,SL Benfica,0:1,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305361/estrela-amadora_sl-benfica/lineup/
Primeira Liga Portugal,2. Jornada,17.08.2025,16:30,Rio Ave FC,CD Nacional,1:1,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305349/rio-ave-fc_cd-nacional/lineup/
Primeira Liga Portugal,2. Jornada,17.08.2025,19:00,FC Alverca,Sporting Braga,0:3,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305340/fc-alverca_sporting-braga/lineup/
Primeira Liga Portugal,2. Jornada,17.08.2025,19:00,CD Santa Clara,Moreirense FC,0:1,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305346/cd-santa-clara_moreirense-fc/lineup/
Primeira Liga Portugal,2. Jornada,17.08.2025,21:30,Sporting CP,FC Arouca,6:0,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305355/sporting-cp_fc-arouca/lineup/
Primeira Liga Portugal,2. Jornada,18.08.2025,21:15,Gil Vicente,FC Porto,0:2,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305343/gil-vicente_fc-porto/lineup/
Primeira Liga Portugal,3. Jornada,23.08.2025,17:00,Moreirense FC,Vitória Guimarães,2:0,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305388/moreirense-fc_vitoria-guimaraes/lineup/
Primeira Liga Portugal,3. Jornada,23.08.2025,19:00,CD Nacional,Sporting CP,1:4,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305364/cd-nacional_sporting-cp/lineup/
Primeira Liga Portugal,3. Jornada,23.08.2025,21:30,FC Arouca,Rio Ave FC,3:3,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305367/fc-arouca_rio-ave-fc/lineup/
Primeira Liga Portugal,3. Jornada,23.08.2025,21:30,SL Benfica,CD Tondela,3:0,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305373/sl-benfica_cd-tondela/lineup/
Primeira Liga Portugal,3. Jornada,24.08.2025,16:30,FC Famalicão,Gil Vicente,0:0,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305370/fc-famalicao_gil-vicente/lineup/
Primeira Liga Portugal,3. Jornada,24.08.2025,19:00,FC Porto,Casa Pia AC,4:0,Final,https://www.livefutbol.com/match-report/co123/primeira-liga/ma11305379/fc-porto_casa-pia-ac/lineup/
