competicion,jornada,fecha,hora,local,visitante,resultado,estado,enlace_partido
Pro League Bélgica,1. Jornada,25.07.2025,20:45,Royal Antwerp FC,Union Saint-Gilloise,1:1,Final,https://www.livefutbol.com/match-report/co49/pro-league/ma11165919/royal-antwerp-fc_union-saint-gilloise/lineup/
Pro League Bélgica,1. Jornada,26.07.2025,16:00,FCV Dender EH,Cercle Brugge,0:0,Final,https://www.livefutbol.com/match-report/co49/pro-league/ma11165922/fcv-dender-eh_cercle-brugge/lineup/
Pro League Bélgica,1. Jornada,26.07.2025,18:15,SV Zulte Waregem,KV Mechelen,1:1,Final,https://www.livefutbol.com/match-report/co49/pro-league/ma11165925/sv-zulte-waregem_kv-mechelen/lineup/
Pro League Bélgica,1. Jornada,26.07.2025,20:45,RAAL La Louviére,Standard Lieja,0:2,Final,https://www.livefutbol.com/match-report/co49/pro-league/ma11165928/raal-la-louviere_standard-lieja/lineup/
Pro League Bélgica,1. Jornada,27.07.2025,13:30,RSC Anderlecht,KVC Westerlo,5:2,Final,https://www.livefutbol.com/match-report/co49/pro-league/ma11165931/rsc-anderlecht_kvc-westerlo/lineup/
Pro League Bélgica,1. Jornada,27.07.2025,16:00,Oud-Heverlee Leuven,Sporting Charleroi,2:2,Final,https://www.livefutbol.com/match-report/co49/pro-league/ma11165934/oud-heverlee-leuven_sporting-charleroi/lineup/
Pro League Bélgica,1. Jornada,27.07.2025,18:30,Club Brugge KV,KRC Genk,2:1,Final,https://www.livefutbol.com/match-report/co49/pro-league/ma11165937/club-brugge-kv_krc-genk/lineup/
Pro League Bélgica,1. Jornada,27.07.2025,19:15,Sint-Truidense VV,KAA Gent,3:1,Final,https://www.livefutbol.com/match-report/co49/pro-league/ma11165940/sint-truidense-vv_kaa-gent/lineup/
Pro League Bélgica,2. Jornada,01.08.2025,20:45,KV Mechelen,Club Brugge KV,2:1,Final,https://www.livefutbol.com/match-report/co49/pro-league/ma11165943/kv-mechelen_club-brugge-kv/lineup/
Pro League Bélgica,2. Jornada,02.08.2025,16:00,KVC Westerlo,SV Zulte Waregem,3:1,Final,https://www.livefutbol.com/match-report/co49/pro-league/ma11165946/kvc-westerlo_sv-zulte-waregem/lineup/
Pro League Bélgica,2. Jornada,02.08.2025,18:15,Standard Lieja,FCV Dender EH,1:1,Final,https://www.livefutbol.com/match-report/co49/pro-league/ma11165949/standard-lieja_fcv-dender-eh/lineup/
Pro League Bélgica,2. Jornada,02.08.2025,20:45,KAA Gent,RAAL La Louviére,1:0,Final,https://www.livefutbol.com/match-report/co49/pro-league/ma11165952/kaa-gent_raal-la-louviere/lineup/
Pro League Bélgica,2. Jornada,03.08.2025,13:30,KRC Genk,Royal Antwerp FC,1:1,Final,https://www.livefutbol.com/match-report/co49/pro-league/ma11165955/krc-genk_royal-antwerp-fc/lineup/
Pro League Bélgica,2. Jornada,03.08.2025,16:00,Cercle Brugge,RSC Anderlecht,0:2,Final,https://www.livefutbol.com/match-report/co49/pro-league/ma11165958/cercle-brugge_rsc-anderlecht/lineup/
Pro League Bélgica,2. Jornada,03.08.2025,18:30,Union Saint-Gilloise,Oud-Heverlee Leuven,5:0,Final,https://www.livefutbol.com/match-report/co49/pro-league/ma11165961/union-saint-gilloise_oud-heverlee-leuven/lineup/
Pro League Bélgica,2. Jornada,03.08.2025,19:15,Sporting Charleroi,Sint-Truidense VV,1:1,Final,https://www.livefutbol.com/match-report/co49/pro-league/ma11165964/sporting-charleroi_sint-truidense-vv/lineup/
