competicion,jornada,fecha,hora,local,visitante,resultado,estado,enlace_partido
Serie A Italia,1. Jornada,23.08.2025,18:30,Genoa CFC,US Lecce,0:0,Final,https://www.livefutbol.com/match-report/co111/serie-a/ma11128602/genoa-cfc_us-lecce/lineup/
Serie A Italia,1. Jornada,23.08.2025,18:30,Sassuolo Calcio,SSC Napoli,0:2,Final,https://www.livefutbol.com/match-report/co111/serie-a/ma11128614/sassuolo-calcio_ssc-napoli/lineup/
Serie A Italia,1. Jornada,23.08.2025,20:45,AC Milan,US Cremonese,1:2,Final,https://www.livefutbol.com/match-report/co111/serie-a/ma11128590/ac-milan_us-cremonese/lineup/
Serie A Italia,1. Jornada,23.08.2025,20:45,AS Roma,Bologna FC,1:0,Final,https://www.livefutbol.com/match-report/co111/serie-a/ma11128593/as-roma_bologna-fc/lineup/
Serie A Italia,1. Jornada,24.08.2025,18:30,Cagliari Calcio,ACF Fiorentina,1:1,Final,https://www.livefutbol.com/match-report/co111/serie-a/ma11128599/cagliari-calcio_acf-fiorentina/lineup/
Serie A Italia,1. Jornada,24.08.2025,18:30,Como 1907,Lazio Roma,2:0,Final,https://www.livefutbol.com/match-report/co111/serie-a/ma11128605/como-1907_lazio-roma/lineup/
Serie A Italia,1. Jornada,24.08.2025,20:45,Atalanta,Pisa SC,1:1,Final,https://www.livefutbol.com/match-report/co111/serie-a/ma11128596/atalanta_pisa-sc/lineup/
Serie A Italia,1. Jornada,24.08.2025,20:45,Juventus,Parma Calcio 1913,2:0,Final,https://www.livefutbol.com/match-report/co111/serie-a/ma11128611/juventus_parma-calcio-1913/lineup/
Serie A Italia,1. Jornada,25.08.2025,18:30,Udinese Calcio,Hellas Verona,1:1,Final,https://www.livefutbol.com/match-report/co111/serie-a/ma11128617/udinese-calcio_hellas-verona/lineup/
Serie A Italia,1. Jornada,25.08.2025,20:45,Inter,Torino FC,5:0,Final,https://www.livefutbol.com/match-report/co111/serie-a/ma11128608/inter_torino-fc/lineup/
Serie A Italia,2. Jornada,29.08.2025,18:30,US Cremonese,Sassuolo Calcio,3:2,Final,https://www.livefutbol.com/match-report/co111/serie-a/ma11128644/us-cremonese_sassuolo-calcio/lineup/
Serie A Italia,2. Jornada,29.08.2025,20:45,US Lecce,AC Milan,0:2,Final,https://www.livefutbol.com/match-report/co111/serie-a/ma11128647/us-lecce_ac-milan/lineup/
Serie A Italia,2. Jornada,30.08.2025,18:30,Bologna FC,Como 1907,1:0,Final,https://www.livefutbol.com/match-report/co111/serie-a/ma11128623/bologna-fc_como-1907/lineup/
Serie A Italia,2. Jornada,30.08.2025,18:30,Parma Calcio 1913,Atalanta,1:1,Final,https://www.livefutbol.com/match-report/co111/serie-a/ma11128635/parma-calcio-1913_atalanta/lineup/
Serie A Italia,2. Jornada,30.08.2025,20:45,Pisa SC,AS Roma,0:1,Final,https://www.livefutbol.com/match-report/co111/serie-a/ma11128638/pisa-sc_as-roma/lineup/
