competicion,jornada,fecha,hora,local,visitante,resultado,estado,enlace_partido
Super League Grecia,1. Jornada,23.08.2025,19:00,Aris Saloniki,Volos NFC,2:0,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369435/aris-saloniki_volos-nfc/lineup/
Super League Grecia,1. Jornada,23.08.2025,19:00,Olympiakos Piraeus,Asteras Tripolis,2:0,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369444/olympiakos-piraeus_asteras-tripolis/lineup/
Super League Grecia,1. Jornada,23.08.2025,21:00,Panetolikos,Atromitos,0:2,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369450/panetolikos_atromitos/lineup/
Super League Grecia,1. Jornada,24.08.2025,19:15,AEK Athen,Panserraikos,2:0,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369432/aek-athen_panserraikos/lineup/
Super League Grecia,1. Jornada,24.08.2025,20:00,PAOK Saloniki,AE Lárissa,1:0,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369453/paok-saloniki_ae-larissa/lineup/
Super League Grecia,1. Jornada,25.08.2025,18:30,Levadiakos,AE Kifisias,3:2,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369438/levadiakos_ae-kifisias/lineup/
Super League Grecia,1. Jornada,04.03.2026,17:00,Panathinaikos,OFI Heraklion,4:1,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369447/panathinaikos_ofi-heraklion/lineup/
Super League Grecia,2. Jornada,30.08.2025,18:00,Volos NFC,Olympiakos Piraeus,0:2,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369471/volos-nfc_olympiakos-piraeus/lineup/
Super League Grecia,2. Jornada,30.08.2025,18:30,Panserraikos,OFI Heraklion,0:1,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369477/panserraikos_ofi-heraklion/lineup/
Super League Grecia,2. Jornada,30.08.2025,20:00,Aris Saloniki,Panetolikos,0:2,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369465/aris-saloniki_panetolikos/lineup/
Super League Grecia,2. Jornada,30.08.2025,20:30,AE Lárissa,AE Kifisias,1:1,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369462/ae-larissa_ae-kifisias/lineup/
Super League Grecia,2. Jornada,31.08.2025,19:00,AEK Athen,Asteras Tripolis,1:0,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369459/aek-athen_asteras-tripolis/lineup/
Super League Grecia,2. Jornada,31.08.2025,20:00,PAOK Saloniki,Atromitos,1:0,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369483/paok-saloniki_atromitos/lineup/
Super League Grecia,2. Jornada,31.08.2025,21:00,Panathinaikos,Levadiakos,1:1,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369474/panathinaikos_levadiakos/lineup/
Super League Grecia,3. Jornada,13.09.2025,17:00,Olympiakos Piraeus,Panserraikos,5:0,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369501/olympiakos-piraeus_panserraikos/lineup/
Super League Grecia,3. Jornada,13.09.2025,19:00,Atromitos,Aris Saloniki,1:2,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369489/atromitos_aris-saloniki/lineup/
Super League Grecia,3. Jornada,13.09.2025,19:00,Panetolikos,Volos NFC,1:2,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369510/panetolikos_volos-nfc/lineup/
Super League Grecia,3. Jornada,14.09.2025,17:00,Asteras Tripolis,AE Lárissa,2:2,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369486/asteras-tripolis_ae-larissa/lineup/
Super League Grecia,3. Jornada,14.09.2025,17:00,AE Kifisias,Panathinaikos,3:2,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369495/ae-kifisias_panathinaikos/lineup/
Super League Grecia,3. Jornada,14.09.2025,19:00,Levadiakos,AEK Athen,0:1,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369498/levadiakos_aek-athen/lineup/
Super League Grecia,3. Jornada,14.09.2025,20:30,OFI Heraklion,PAOK Saloniki,1:2,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369504/ofi-heraklion_paok-saloniki/lineup/
Super League Grecia,4. Jornada,20.09.2025,17:00,AE Kifisias,Aris Saloniki,0:1,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369522/ae-kifisias_aris-saloniki/lineup/
Super League Grecia,4. Jornada,20.09.2025,17:00,Panserraikos,Atromitos,1:1,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369531/panserraikos_atromitos/lineup/
Super League Grecia,4. Jornada,20.09.2025,19:00,Volos NFC,Asteras Tripolis,2:1,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369516/volos-nfc_asteras-tripolis/lineup/
Super League Grecia,4. Jornada,20.09.2025,19:30,PAOK Saloniki,Panetolikos,0:0,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369537/paok-saloniki_panetolikos/lineup/
Super League Grecia,4. Jornada,21.09.2025,16:30,AE Lárissa,AEK Athen,1:1,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369513/ae-larissa_aek-athen/lineup/
Super League Grecia,4. Jornada,21.09.2025,17:00,Levadiakos,OFI Heraklion,4:0,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369525/levadiakos_ofi-heraklion/lineup/
Super League Grecia,4. Jornada,21.09.2025,20:00,Panathinaikos,Olympiakos Piraeus,1:1,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369528/panathinaikos_olympiakos-piraeus/lineup/
Super League Grecia,5. Jornada,27.09.2025,17:00,Olympiakos Piraeus,Levadiakos,3:2,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369555/olympiakos-piraeus_levadiakos/lineup/
Super League Grecia,5. Jornada,27.09.2025,19:30,Aris Saloniki,Panserraikos,1:1,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369549/aris-saloniki_panserraikos/lineup/
Super League Grecia,5. Jornada,28.09.2025,16:00,AEK Athen,Volos NFC,1:0,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369540/aek-athen_volos-nfc/lineup/
Super League Grecia,5. Jornada,28.09.2025,18:00,OFI Heraklion,AE Kifisias,1:3,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369561/ofi-heraklion_ae-kifisias/lineup/
Super League Grecia,5. Jornada,28.09.2025,19:30,Asteras Tripolis,PAOK Saloniki,3:3,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369543/asteras-tripolis_paok-saloniki/lineup/
Super League Grecia,5. Jornada,28.09.2025,20:00,Panetolikos,Panathinaikos,1:2,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369564/panetolikos_panathinaikos/lineup/
Super League Grecia,5. Jornada,29.09.2025,17:00,Atromitos,AE Lárissa,1:1,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369552/atromitos_ae-larissa/lineup/
Super League Grecia,6. Jornada,04.10.2025,17:00,OFI Heraklion,Aris Saloniki,3:0,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369579/ofi-heraklion_aris-saloniki/lineup/
Super League Grecia,6. Jornada,04.10.2025,17:00,Panserraikos,Asteras Tripolis,2:1,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369588/panserraikos_asteras-tripolis/lineup/
Super League Grecia,6. Jornada,04.10.2025,19:30,AE Lárissa,Volos NFC,2:5,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369567/ae-larissa_volos-nfc/lineup/
Super League Grecia,6. Jornada,05.10.2025,17:00,AE Kifisias,AEK Athen,2:3,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369570/ae-kifisias_aek-athen/lineup/
Super League Grecia,6. Jornada,05.10.2025,17:00,Levadiakos,Panetolikos,6:0,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369576/levadiakos_panetolikos/lineup/
Super League Grecia,6. Jornada,05.10.2025,19:30,PAOK Saloniki,Olympiakos Piraeus,2:1,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369591/paok-saloniki_olympiakos-piraeus/lineup/
Super League Grecia,6. Jornada,05.10.2025,20:30,Panathinaikos,Atromitos,1:0,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369582/panathinaikos_atromitos/lineup/
Super League Grecia,7. Jornada,18.10.2025,16:00,AE Lárissa,Olympiakos Piraeus,0:2,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369603/ae-larissa_olympiakos-piraeus/lineup/
Super League Grecia,7. Jornada,18.10.2025,18:30,Atromitos,Levadiakos,2:2,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369609/atromitos_levadiakos/lineup/
Super League Grecia,7. Jornada,18.10.2025,19:00,Panetolikos,OFI Heraklion,4:2,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369618/panetolikos_ofi-heraklion/lineup/
Super League Grecia,7. Jornada,19.10.2025,15:00,Asteras Tripolis,AE Kifisias,2:2,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369597/asteras-tripolis_ae-kifisias/lineup/
Super League Grecia,7. Jornada,19.10.2025,16:30,Volos NFC,Panserraikos,2:1,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369615/volos-nfc_panserraikos/lineup/
Super League Grecia,7. Jornada,19.10.2025,18:30,Aris Saloniki,Panathinaikos,1:1,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369606/aris-saloniki_panathinaikos/lineup/
Super League Grecia,7. Jornada,19.10.2025,20:00,AEK Athen,PAOK Saloniki,0:2,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369594/aek-athen_paok-saloniki/lineup/
Super League Grecia,8. Jornada,25.10.2025,16:00,AE Kifisias,Panetolikos,1:1,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369621/ae-kifisias_panetolikos/lineup/
Super League Grecia,8. Jornada,25.10.2025,18:30,Panserraikos,AE Lárissa,0:2,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369642/panserraikos_ae-larissa/lineup/
Super League Grecia,8. Jornada,25.10.2025,19:00,OFI Heraklion,Atromitos,1:3,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369633/ofi-heraklion_atromitos/lineup/
Super League Grecia,8. Jornada,26.10.2025,16:00,Levadiakos,Aris Saloniki,1:1,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369624/levadiakos_aris-saloniki/lineup/
Super League Grecia,8. Jornada,26.10.2025,16:30,Panathinaikos,Asteras Tripolis,2:0,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369636/panathinaikos_asteras-tripolis/lineup/
Super League Grecia,8. Jornada,26.10.2025,18:30,PAOK Saloniki,Volos NFC,3:0,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369645/paok-saloniki_volos-nfc/lineup/
Super League Grecia,8. Jornada,26.10.2025,20:00,Olympiakos Piraeus,AEK Athen,2:0,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369630/olympiakos-piraeus_aek-athen/lineup/
Super League Grecia,9. Jornada,01.11.2025,17:00,Volos NFC,Panathinaikos,1:0,Final,https://www.livefutbol.com/match-report/co122/super-league/ma11369663/volos-nfc_panathinaikos/lineup/
