competicion,jornada,fecha,hora,local,visitante,resultado,estado,enlace_partido
Süper Lig Turquía,1. Jornada,08.08.2025,20:30,Gaziantep FK,Galatasaray,0:3,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302778/gaziantep-fk_galatasaray/lineup/
Süper Lig Turquía,1. Jornada,09.08.2025,18:00,Samsunspor,Gençlerbirliği,2:1,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302772/samsunspor_genclerbirligi/lineup/
Süper Lig Turquía,1. Jornada,09.08.2025,20:30,Antalyaspor,Kasımpaşa SK,2:1,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302766/antalyaspor_kasimpasa-sk/lineup/
Süper Lig Turquía,1. Jornada,10.08.2025,18:00,Çaykur Rizespor,Göztepe,0:3,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302784/caykur-rizespor_goeztepe/lineup/
Süper Lig Turquía,1. Jornada,10.08.2025,20:30,Eyüpspor,Konyaspor,1:4,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302763/eyuepspor_konyaspor/lineup/
Süper Lig Turquía,1. Jornada,11.08.2025,20:30,Trabzonspor,Kocaelispor,1:0,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302769/trabzonspor_kocaelispor/lineup/
Süper Lig Turquía,1. Jornada,17.09.2025,19:00,Fatih Karagümrük,İstanbul Başakşehir,0:2,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302775/fatih-karaguemruek_stanbul-basaksehir/lineup/
Süper Lig Turquía,1. Jornada,17.09.2025,19:00,Fenerbahçe,Alanyaspor,2:2,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302781/fenerbahce_alanyaspor/lineup/
Süper Lig Turquía,1. Jornada,24.09.2025,19:00,Kayserispor,Beşiktaş,0:4,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302787/kayserispor_besiktas/lineup/
Süper Lig Turquía,2. Jornada,15.08.2025,20:30,Galatasaray,Fatih Karagümrük,3:0,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302808/galatasaray_fatih-karaguemruek/lineup/
Süper Lig Turquía,2. Jornada,16.08.2025,18:00,Kocaelispor,Samsunspor,0:1,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302814/kocaelispor_samsunspor/lineup/
Süper Lig Turquía,2. Jornada,16.08.2025,20:30,Alanyaspor,Çaykur Rizespor,0:0,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302799/alanyaspor_caykur-rizespor/lineup/
Süper Lig Turquía,2. Jornada,16.08.2025,20:30,Göztepe,Fenerbahçe,0:0,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302805/goeztepe_fenerbahce/lineup/
Süper Lig Turquía,2. Jornada,17.08.2025,18:00,Konyaspor,Gaziantep FK,3:0,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302793/konyaspor_gaziantep-fk/lineup/
Süper Lig Turquía,2. Jornada,17.08.2025,18:00,Gençlerbirliği,Antalyaspor,0:1,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302811/genclerbirligi_antalyaspor/lineup/
Süper Lig Turquía,2. Jornada,17.08.2025,20:30,Beşiktaş,Eyüpspor,2:1,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302796/besiktas_eyuepspor/lineup/
Süper Lig Turquía,2. Jornada,17.08.2025,20:30,İstanbul Başakşehir,Kayserispor,1:1,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302802/stanbul-basaksehir_kayserispor/lineup/
Süper Lig Turquía,2. Jornada,18.08.2025,20:30,Kasımpaşa SK,Trabzonspor,0:1,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302790/kasimpasa-sk_trabzonspor/lineup/
Süper Lig Turquía,3. Jornada,22.08.2025,20:30,Fatih Karagümrük,Göztepe,0:2,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302829/fatih-karaguemruek_goeztepe/lineup/
Süper Lig Turquía,3. Jornada,23.08.2025,20:30,Gaziantep FK,Gençlerbirliği,2:1,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302832/gaziantep-fk_genclerbirligi/lineup/
Süper Lig Turquía,3. Jornada,23.08.2025,20:30,Fenerbahçe,Kocaelispor,3:1,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302835/fenerbahce_kocaelispor/lineup/
Süper Lig Turquía,3. Jornada,24.08.2025,18:00,Trabzonspor,Antalyaspor,1:0,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302823/trabzonspor_antalyaspor/lineup/
Süper Lig Turquía,3. Jornada,24.08.2025,20:30,Kayserispor,Galatasaray,0:4,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302841/kayserispor_galatasaray/lineup/
Süper Lig Turquía,3. Jornada,25.08.2025,18:00,Eyüpspor,Alanyaspor,2:1,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302817/eyuepspor_alanyaspor/lineup/
Süper Lig Turquía,3. Jornada,17.09.2025,19:00,Samsunspor,Kasımpaşa SK,0:0,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302826/samsunspor_kasimpasa-sk/lineup/
Süper Lig Turquía,3. Jornada,22.10.2025,19:00,Konyaspor,Beşiktaş,0:2,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302820/konyaspor_besiktas/lineup/
Süper Lig Turquía,3. Jornada,22.10.2025,19:00,Çaykur Rizespor,İstanbul Başakşehir,0:0,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302838/caykur-rizespor_stanbul-basaksehir/lineup/
Süper Lig Turquía,4. Jornada,29.08.2025,20:30,Göztepe,Konyaspor,1:1,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302859/goeztepe_konyaspor/lineup/
Süper Lig Turquía,4. Jornada,30.08.2025,18:00,Kasımpaşa SK,Gaziantep FK,2:3,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302844/kasimpasa-sk_gaziantep-fk/lineup/
Süper Lig Turquía,4. Jornada,30.08.2025,18:00,Kocaelispor,Kayserispor,1:1,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302868/kocaelispor_kayserispor/lineup/
Süper Lig Turquía,4. Jornada,30.08.2025,20:30,Antalyaspor,Fatih Karagümrük,1:2,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302847/antalyaspor_fatih-karaguemruek/lineup/
Süper Lig Turquía,4. Jornada,30.08.2025,20:30,Galatasaray,Çaykur Rizespor,3:1,Final,https://www.livefutbol.com/match-report/co116/sueperlig/ma11302862/galatasaray_caykur-rizespor/lineup/
